employee_row,risk_score,actual,predicted,feature_rank,feature,shap_value_logodds,direction,tag
228,0.979273757749359,1,1,1,is_new_hire,0.9037017633799067,higher risk contribution,top_risk
228,0.979273757749359,1,1,2,OverTime,0.8591425158330547,higher risk contribution,top_risk
228,0.979273757749359,1,1,3,JobInvolvement,0.8223853076556383,higher risk contribution,top_risk
228,0.979273757749359,1,1,4,BusinessTravel,0.6517809827568578,higher risk contribution,top_risk
228,0.979273757749359,1,1,5,YearsAtCompany,-0.6271130482214491,lower risk contribution,top_risk
228,0.979273757749359,1,1,6,TotalWorkingYears,0.423735480388335,higher risk contribution,top_risk
228,0.979273757749359,1,1,7,DistanceFromHome,0.41513647249859825,higher risk contribution,top_risk
228,0.979273757749359,1,1,8,YearsWithCurrManager,0.4123986523947038,higher risk contribution,top_risk
72,0.9701370116894771,1,1,1,is_new_hire,0.9037017633799067,higher risk contribution,top_risk
72,0.9701370116894771,1,1,2,OverTime,0.8591425158330547,higher risk contribution,top_risk
72,0.9701370116894771,1,1,3,YearsAtCompany,-0.71786746909286,lower risk contribution,top_risk
72,0.9701370116894771,1,1,4,income_per_experience_year,0.5635986473417538,higher risk contribution,top_risk
72,0.9701370116894771,1,1,5,TotalWorkingYears,0.46318943573175536,higher risk contribution,top_risk
72,0.9701370116894771,1,1,6,YearsWithCurrManager,0.4123986523947038,higher risk contribution,top_risk
72,0.9701370116894771,1,1,7,MaritalStatus,0.40000094896136196,higher risk contribution,top_risk
72,0.9701370116894771,1,1,8,DistanceFromHome,0.35608434269794415,higher risk contribution,top_risk
268,0.9551384551588897,0,1,1,income_per_experience_year,1.071695003158743,higher risk contribution,top_risk
268,0.9551384551588897,0,1,2,is_new_hire,0.9037017633799067,higher risk contribution,top_risk
268,0.9551384551588897,0,1,3,YearsAtCompany,-0.71786746909286,lower risk contribution,top_risk
268,0.9551384551588897,0,1,4,TotalWorkingYears,0.46318943573175536,higher risk contribution,top_risk
268,0.9551384551588897,0,1,5,OverTime,-0.44258856876248276,lower risk contribution,top_risk
268,0.9551384551588897,0,1,6,YearsWithCurrManager,0.4123986523947038,higher risk contribution,top_risk
