sensitive_attribute,group,n_in_group,low_confidence,accuracy,selection_rate,demographic_parity_difference,equalized_odds_difference
Gender,Female,107,False,0.7570093457943925,0.2897196261682243,0.0015840329478852833,0.19047619047619047
Gender,Male,177,False,0.768361581920904,0.288135593220339,0.0015840329478852833,0.19047619047619047
MaritalStatus,Divorced,64,False,0.875,0.125,0.3638888888888889,0.31666666666666665
MaritalStatus,Married,130,False,0.8076923076923077,0.23076923076923078,0.3638888888888889,0.31666666666666665
MaritalStatus,Single,90,False,0.6222222222222222,0.4888888888888889,0.3638888888888889,0.31666666666666665
age_group,26-35,113,False,0.7079646017699115,0.2920353982300885,0.5555555555555556,0.9
age_group,36-45,96,False,0.875,0.17708333333333334,0.5555555555555556,0.9
age_group,46-55,36,False,0.7777777777777778,0.3055555555555556,0.5555555555555556,0.9
age_group,56+,9,True,0.7777777777777778,0.1111111111111111,0.5555555555555556,0.9
age_group,<=25,30,False,0.6,0.6666666666666666,0.5555555555555556,0.9
